GEO_UNIT,WEEK,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,64.05045066
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,10.30848042
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2411.0
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,8.586868687
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,9.813755613
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE_REDUCTION,1.034129067
FR,3/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE_REDUCTION,1.001594562
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_FOR_VOLUME,9.505776794
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_POINTS,921.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE,16.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_DISPLAY,18.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE_AND_DISPLAY,9.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,62.95476893
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,9.927730888
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2446.0
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,8.747784594
FR,10/10/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,10.00336526
